Algorithm,NPS Avg.,Time Avg.,Time Std. Dev,Hypervolume Avg.,Hypervolume Median,Hypervolume Std. Dev,IGD Avg.,IGD Median,IGD Std. Dev
BNSGA-II,95.2,128.80936260223388,11.122929061511893,0.9427448043207429,0.9413157280717674,0.00551189603548228,0.004299295665354491,0.003701327806415465,0.0012087651207644632
INSGA-II,100.0,134.60327501296996,13.861325538719752,0.9252472407479814,0.9213692746033633,0.0626281347339796,0.02886615296782393,0.02390907700028133,0.00900278889664557
MNSGA-II,67.4,126.33004560470582,5.124544116087071,0.8039135503800151,0.7924380044465167,0.026596892472465956,0.0514714710530404,0.05118456611426618,0.027291454199093765
RNSGA-II,94.4,327.0053777217865,33.359517415637896,0.9119997557368666,0.9105755682026901,0.00312916824418864,0.017141426661213568,0.01697824705012304,0.005531051732496096
