Serial Number,player_name,Type ,Price (₹ Cr.) ,Overseas Player
1,Rohit Sharma,Batter,16.0,No
2,Ishan Kishan,Wicket-Keeper,15.25,No
3,Hardik Pandya,All-Rounder,15.0,No
4,Jasprit Bumrah,Bowler,12.0,No
5,Tim David,Batter,8.25,Yes
6,Suryakumar Yadav,Batter,8.0,No
7,Gerald Coetzee,All-Rounder,5.0,Yes
8,Nuwan Thushara,Bowler,4.8,Yes
9,Dilshan Madushanka,Bowler,4.6,Yes
10,Dewald Brevis,All-Rounder,3.0,Yes
11,Tilak Varma,Batter,1.7,No
12,Mohammad Nabi,All-Rounder,1.5,Yes
13,Jason Behrendorff,Bowler,0.75,Yes
14,Piyush Chawla,Bowler,0.5,No
15,Romario Shepherd,All-Rounder,0.5,Yes
16,Arjun Tendulkar,Bowler,0.3,No
17,Shams Mulani,All-Rounder,0.2,No
18,Akash Madhwal,Bowler,0.2,No
19,Kumar Kartikeya,Bowler,0.2,No
20,Vishnu Vinod,Wicket-Keeper,0.2,No
21,Shivalik Sharma,All-Rounder,0.2,No
22,Naman Dhir,All-Rounder,0.2,No
23,Nehal Wadhera,All-Rounder,0.2,No
24,Anshul Kamboj,All-Rounder,0.2,No
25,Shreyas Gopal,Bowler,0.2,No
26,Rishabh Pant,Wicket-Keeper,16.0,No
27,Axar Patel,All-Rounder,12.0,No
28,Prithvi Shaw,Batter,8.0,No
29,Kumar Kushagra,Wicket-Keeper,7.2,No
30,Mitchell Marsh,All-Rounder,6.5,Yes
31,Anrich Nortje,Bowler,6.5,Yes
32,David Warner,Batter,6.25,Yes
33,Mukesh Kumar,Bowler,5.5,No
34,Khaleel Ahmed,Bowler,5.25,No
35,Jhye Richardson,Bowler,5.0,Yes
36,Harry Brook,Batter,4.0,Yes
37,Kuldeep Yadav,Bowler,2.0,No
38,Sumit Kumar,All-Rounder,1.0,No
39,Shai Hope,Wicket-Keeper,0.75,Yes
40,Lalit Yadav,All-Rounder,0.65,No
41,Ishant Sharma,Bowler,0.5,No
42,Lungi Ngidi,Bowler,0.5,Yes
43,Pravin Dubey,Bowler,0.5,No
44,Yash Dhull,Batter,0.5,No
45,Tristan Stubbs,Wicket-Keeper,0.5,Yes
46,Rasikh Dar,Bowler,0.2,No
47,Abishek Porel,Wicket-Keeper,0.2,No
48,Vicky Ostwal,Bowler,0.2,No
49,Ricky Bhui,Wicket-Keeper,0.2,No
50,Swastik Chikara,Batter,0.2,No
51,Cameron Green,All-Rounder,17.5,Yes
52,Virat Kohli,Batter,15.0,No
53,Alzarri Joseph,Bowler,11.5,Yes
54,Glenn Maxwell,All-Rounder,11.0,Yes
55,Mohammed Siraj,Bowler,7.0,No
56,Faf du Plessis,Batter,7.0,Yes
57,Dinesh Karthik,Wicket-Keeper,5.5,No
58,Yash Dayal,Bowler,5.0,No
59,Anuj Rawat,Wicket-Keeper,3.4,No
60,Will Jacks,Batter,3.2,Yes
61,Lockie Ferguson,Bowler,2.0,Yes
62,Reece Topley,Bowler,1.9,Yes
63,Mayank Dagar,All-Rounder,1.8,No
64,Tom Curran,All-Rounder,1.5,Yes
65,Mahipal Lomror,All-Rounder,0.95,No
66,Rajan Kumar,Bowler,0.7,No
67,Karn Sharma,Bowler,0.5,No
68,Suyash Prabhudessai,Batter,0.3,No
69,Vyshak Vijay Kumar,Bowler,0.2,No
70,Akash Deep,Bowler,0.2,No
71,Manoj Bhandage,All-Rounder,0.2,No
72,Rajat Patidar,Batter,0.2,No
73,Himanshu Sharma,Bowler,0.2,No
74,Swapnil Singh,All-Rounder,0.2,No
75,Ravindra Jadeja,All-Rounder,16.0,No
76,Daryl Mitchell,All-Rounder,14.0,Yes
77,Deepak Chahar,Bowler,14.0,No
78,MS Dhoni,Wicket-Keeper,12.0,No
79,Sameer Rizvi,Batter,8.4,No
80,Ruturaj Gaikwad,Batter,8.0,No
81,Moeen Ali,All-Rounder,6.0,Yes
82,Shivam Dube,All-Rounder,4.0,No
83,Shardul Thakur,All-Rounder,4.0,No
84,Mustafizur Rahman,Bowler,2.0,Yes
85,Mitchell Santner,All-Rounder,1.9,Yes
86,Rachin Ravindra,All-Rounder,1.8,Yes
87,Rajvardhan Hangargekar,Bowler,1.5,No
88,Prashant Solanki,Bowler,1.2,No
89,Devon Conway,Wicket-Keeper,1.0,Yes
90,Maheesh Theekshana,Bowler,0.7,Yes
91,Nishant Sindhu,All-Rounder,0.6,No
92,Ajinkya Rahane,Batter,0.5,No
93,Matheesha Pathirana,Bowler,0.2,Yes
94,Shaik Rasheed,Batter,0.2,No
95,Ajay Mandal,All-Rounder,0.2,No
96,Simarjeet Singh,Bowler,0.2,No
