Algorithm,NPS Avg.,Time Avg.,Time Std. Dev,Hypervolume Avg.,Hypervolume Median,Hypervolume Std. Dev,IGD Avg.,IGD Median,IGD Std. Dev
BNSGA-II,56.4,128.80066418647766,7.749206776877262,0.7100780816349305,0.71661747481485,0.027484193029027618,0.019205784853275083,0.01120422347475481,0.004240427570534636
INSGA-II,65.0,132.97396121025085,9.990630704060681,0.7023276721088422,0.7001547513497784,0.02280843184709873,0.029940203571367303,0.01982494452877279,0.001547827162098772
MNSGA-II,28.0,127.96659078598022,5.111574729407478,0.6587383397291457,0.6531306689617674,0.09779007765546342,0.13934856187685543,0.13915258946129047,0.02562830617272926
RNSGA-II,34.8,331.1821914672852,21.151400030860746,0.658229740421416,0.6199807451802671,0.0806273205909516,0.03889436021298561,0.8038526280585239,0.005105365396410869
